"","region","subregion","region_type","violent","murder","rape","robbery","assault","property","burglary","larceny","car","arson"
"1","alabama","bibb","metropolitan   ",20,0,2,1,17,138,54,71,13,NA
"2","alabama","chilton","metropolitan   ",328,0,9,3,316,477,159,312,6,NA
"3","alabama","colbert","metropolitan   ",169,0,6,4,159,563,122,418,23,NA
"4","alabama","elmore","metropolitan   ",58,0,13,16,29,688,231,420,37,NA
"5","alabama","geneva","metropolitan   ",28,0,5,2,21,226,82,118,26,NA
"6","alabama","hale","metropolitan   ",63,2,3,7,51,219,86,99,34,NA
"7","alabama","henry","metropolitan   ",22,1,2,0,19,119,34,74,11,NA
"8","alabama","houston","metropolitan   ",31,0,10,10,11,525,103,364,58,NA
"9","alabama","jefferson","metropolitan   ",637,5,62,282,288,5960,2358,3103,499,NA
"10","alabama","lauderdale","metropolitan   ",61,1,13,3,44,972,323,594,55,NA
"11","alabama","lawrence","metropolitan   ",35,0,1,3,31,505,179,310,16,NA
"12","alabama","lee","metropolitan   ",103,3,20,24,56,1850,643,1095,112,NA
"13","alabama","limestone","metropolitan   ",38,1,6,8,23,380,103,241,36,NA
"14","alabama","madison","metropolitan   ",224,0,20,38,166,2506,810,1464,232,NA
"15","alabama","mobile","metropolitan   ",223,9,24,84,106,2431,778,1385,268,NA
"16","alabama","montgomery","metropolitan   ",52,0,6,9,37,720,225,405,90,NA
"17","alabama","morgan","metropolitan   ",28,2,3,4,19,388,231,155,2,NA
"18","alabama","russell","metropolitan   ",97,2,5,8,82,336,137,163,36,NA
"19","alabama","shelby","metropolitan   ",77,0,15,15,47,1029,428,517,84,NA
"20","alabama","st. clair","metropolitan   ",38,0,8,5,25,324,119,181,24,NA
"21","alabama","tuscaloosa","metropolitan   ",229,2,21,32,174,1807,570,1041,196,NA
"22","alabama","walker","metropolitan   ",46,1,8,14,23,1024,279,673,72,NA
"23","alabama","baldwin","nonmetropolitan  ",137,3,18,22,94,1094,339,685,70,NA
"24","alabama","barbour","nonmetropolitan  ",18,0,1,0,17,60,57,0,3,NA
"25","alabama","butler","nonmetropolitan  ",21,0,2,1,18,226,95,124,7,NA
"26","alabama","chambers","nonmetropolitan  ",20,0,4,3,13,186,69,108,9,NA
"27","alabama","cherokee","nonmetropolitan  ",15,0,0,0,15,150,37,113,0,NA
"28","alabama","clay","nonmetropolitan  ",10,0,3,0,7,128,55,66,7,NA
"29","alabama","cleburne","nonmetropolitan  ",27,0,0,3,24,211,76,113,22,NA
"30","alabama","conecuh","nonmetropolitan  ",7,1,0,0,6,87,37,48,2,NA
"31","alabama","coosa","nonmetropolitan  ",24,0,3,1,20,260,100,155,5,NA
"32","alabama","covington","nonmetropolitan  ",12,2,6,1,3,67,33,33,1,NA
"33","alabama","crenshaw","nonmetropolitan  ",11,1,2,0,8,170,59,94,17,NA
"34","alabama","cullman","nonmetropolitan  ",134,1,29,5,99,1249,351,828,70,NA
"35","alabama","dale","nonmetropolitan  ",47,0,2,1,44,165,57,102,6,NA
"36","alabama","dallas","nonmetropolitan  ",53,0,4,9,40,586,168,364,54,NA
"37","alabama","escambia","nonmetropolitan  ",26,0,2,6,18,163,48,105,10,NA
"38","alabama","fayette","nonmetropolitan  ",7,0,2,2,3,103,40,49,14,NA
"39","alabama","franklin","nonmetropolitan  ",15,0,4,0,11,123,47,67,9,NA
"40","alabama","jackson","nonmetropolitan  ",53,0,9,0,44,558,180,281,97,NA
"41","alabama","macon","nonmetropolitan  ",53,1,5,3,44,315,131,130,54,NA
"42","alabama","marengo","nonmetropolitan  ",20,0,3,3,14,164,54,92,18,NA
"43","alabama","marshall","nonmetropolitan  ",64,2,13,5,44,656,244,364,48,NA
"44","alabama","monroe","nonmetropolitan  ",34,2,0,1,31,105,54,46,5,NA
"45","alabama","perry","nonmetropolitan  ",5,1,0,0,4,102,41,49,12,NA
"46","alabama","pickens","nonmetropolitan  ",14,1,4,1,8,63,26,32,5,NA
"47","alabama","pike","nonmetropolitan  ",6,0,0,3,3,85,38,43,4,NA
"48","alabama","talladega","nonmetropolitan  ",72,0,7,24,41,1107,303,767,37,NA
"49","alabama","washington","nonmetropolitan  ",82,0,6,2,74,164,43,112,9,NA
"50","alabama","wilcox","nonmetropolitan  ",6,0,0,0,6,19,3,11,5,NA
"51","alabama","winston","nonmetropolitan  ",17,0,1,0,16,235,58,169,8,NA
"52","arizona","coconino","metropolitan  ",123,0,15,3,105,559,171,373,15,16
"53","arizona","maricopa","metropolitan  ",1018,26,23,121,848,7260,2050,4303,907,153
"54","arizona","mohave","metropolitan  ",191,7,16,15,153,2411,894,1303,214,22
"55","arizona","pima","metropolitan  ",674,28,72,234,340,11987,2762,7754,1471,126
"56","arizona","pinal","metropolitan  ",198,7,39,36,116,3930,493,2731,706,24
"57","arizona","yavapai","metropolitan  ",302,3,20,6,273,1568,536,893,139,9
"58","arizona","yuma2 ","metropolitan  ",96,2,5,10,79,934,394,422,118,9
"59","arizona","apache","nonmetropolitan  ",28,0,6,0,22,234,102,126,6,0
"60","arizona","cochise","nonmetropolitan  ",446,4,16,14,412,1027,360,527,140,10
